timestamp,x,y,z,qx,qy,qz,qw,relative_time
1743161013.46206,-1.1526070833206177,0.9352926015853882,0.02307628095149994,-0.0005117644037307287,0.002024597378251443,-0.09075961363923846,0.9958706875497225,0.0
1743161013.6616666,-1.151415228843689,0.9318336844444275,0.02297501266002655,-0.0004766738596228695,0.002001311409085301,-0.09079855732726255,0.9958671472144477,0.19960665702819824
1743161013.8618002,-1.1504536867141724,0.9274783134460449,0.021858587861061096,-0.0004304051810365115,0.0019916067679434137,-0.09082599492564308,0.9958647448440825,0.39974021911621094
1743161014.0617197,-1.1504031419754028,0.9245790243148804,0.021042600274086,-0.0004156387198520786,0.00200995093680359,-0.09086477002627319,0.9958611202151106,0.5996596813201904
1743161014.261651,-1.1502835750579834,0.9227343797683716,0.019450649619102478,-0.0004380347484337453,0.0020059477270576265,-0.09088133373773782,0.9958596450754128,0.799591064453125
1743161014.4616768,-1.1503570079803467,0.9219355583190918,0.015580326318740845,-0.00043512603966004926,0.0020014530784725807,-0.09089119610028945,0.9958587178447456,0.9996168613433838
1743161014.6616745,-1.150563359260559,0.922867476940155,0.011650249361991882,-0.000450339899519593,0.001992303425714796,-0.09092862250176709,0.9958554303905618,1.1996145248413086
1743161014.8618479,-1.1506505012512207,0.9248591661453247,0.00856393575668335,-0.00044987974154464,0.0019832120541459675,-0.09094392180777655,0.9958540395445609,1.3997879028320312
1743161015.0618129,-1.151625156402588,0.9260930418968201,0.007074043154716492,-0.0004523852564433239,0.0019769653478974338,-0.09096840912676141,0.9958517214678927,1.5997529029846191
1743161015.2616727,-1.1529172658920288,0.9252151250839233,0.005585670471191406,-0.00044338879760170844,0.0019419568748988822,-0.09098067385967806,0.9958506677966799,1.7996127605438232
1743161015.4616952,-1.1541868448257446,0.9230249524116516,0.0023695826530456543,-0.0004254818199767693,0.0019189647812194275,-0.09095483784154096,0.9958531544607421,1.9996352195739746
1743161015.661676,-1.1552497148513794,0.9205984473228455,-0.0027472227811813354,-0.00041158085091195265,0.0019253422085527957,-0.09095639727493587,0.9958529437264996,2.199615955352783
1743161015.861631,-1.1564525365829468,0.9174128174781799,-0.008122965693473816,-0.00039107171698178313,0.001910018618714609,-0.09094404824832208,0.9958540816914094,2.399570941925049
