Test,collisions,near_misses,collision_rate(%),near_misses_rate(%),avg_drone_dist(m),number_of_drones,duration(s),total_checks
test1,0,0,0,0,2.08,2,218.4,1033
test2,11,74,1.0338,6.9549,5.192,2,212.6,1064
test3,1,1,0.0963,0.0963,2.833,2,209.2,1038
test4,12,78,1.1617,7.5508,4.796,2,206.4,1033
test5,16,115,1.5826,11.3749,5.327,2,202,1011
test6,8,12,0.7805,1.1707,5.246,2,204.8,1025
test7,11,84,1.064,8.1317,4.102,2,206.4,1033
test8,0,1,0,0.0963,0.107,2,119.6,1031
test9,83,972,7.2363,84.7428,0.373,2,228,1147
test10,0,1,0,100,0.398,2,204,1009
test11,32,924,3.1281,90.3226,0.376,3,203.8,1023
test12,37,167,11.859,53.5256,0.568,3,227,3408
test13,0,23,0,2.2179,6.338,3,207.4,1037
test14,105,830,9.7765,77.2812,0.628,3,210.6,1074
test15,55,870,1.7869,28.2651,5.27,3,205,3078
test16,1,15,0.0961,1.4409,6.965,3,208.6,1041
test17,29,847,0.9295,27.1474,5.64,3,207.8,3120
test18,42,1067,1.3011,33.0545,4.1148,3,215,3228
test19,85,903,2.7113,28.8038,5.184,3,208,3135
test20,1,58,0.0925,5.3654,6.692,3,216.2,1081
test21,695,2285,10.9795,36.0979,3.601,4,210.8,6330
test22,195,861,6.3477,28.0273,4.274,4,205.4,3072
test23,56,778,1.807,25.1049,4.17,4,207.2,3099
test24,617,2107,19.7188,67.3378,0.387,4,209,3129
test25,607,2333,19.2332,73.9227,0.28,4,210.2,3156
test26,159,878,5.0142,27.6884,4.952,4,211,3171
test27,710,2231,11.1635,35.0786,3.868,4,211.8,6360
test28,147,859,6.9701,40.7302,4.049,4,210.4,2109
test29,138,886,4.3977,28.2345,5.01,4,209.4,3138
test30,41,898,1.3192,28.8932,5.436,4,207.6,3108
