timestamp,x,y,z,qx,qy,qz,qw,relative_time,drone_id
1743169561.5298994,-0.010408257134258747,-0.7550792694091797,0.03662946820259094,0.00037109312297086246,-2.219072733124301e-05,0.01597694303981273,-0.999872362228438,0.0,drone1
1743169561.7299142,-0.01094142533838749,-0.7581229209899902,0.07061359286308289,0.00038818307323606956,-2.8972871423256485e-06,0.01596729141150377,-0.9998724886689835,0.20001482963562012,drone1
1743169561.9299035,-0.009594575501978397,-0.7609526515007019,0.09653842449188232,0.00039789030739695715,-7.677250135454737e-06,0.015976563718176184,-0.9998723200815894,0.40000414848327637,drone1
1743169562.1298478,-0.006830932106822729,-0.7630845308303833,0.11313682794570923,0.0004167187740042069,-2.7320953684555378e-05,0.015988786304244273,-0.9998720672004984,0.5999484062194824,drone1
1743169562.329873,-0.003592531196773052,-0.7653696537017822,0.12298354506492615,0.00041139261008025385,-5.990863765127861e-05,0.016010239050136377,-0.9998717721725587,0.799973726272583,drone1
1743169562.529862,-0.0022619334049522877,-0.7673407793045044,0.1284085512161255,0.0003890982854660386,-4.614690959086851e-05,0.016009227525772107,-0.9998717721725587,0.999962568283081,drone1
1743169562.7300434,-0.0028873321134597063,-0.7676423192024231,0.12972915172576904,0.000378736334587121,-2.3051012833343068e-05,0.01601677181165556,-0.9998716457320133,1.2001440525054932,drone1
1743169562.9299235,-0.006051531992852688,-0.7660970687866211,0.12840434908866882,0.0004055023822056976,3.1779402901298155e-05,0.016016561077413005,-0.9998716878788618,1.400024175643921,drone1
1743169563.1299548,-0.012010467238724232,-0.7633941769599915,0.12590602040290833,0.0004406575254138867,7.76211182718086e-05,0.015996077709036716,-0.9998720250536499,1.600055456161499,drone1
1743169563.3299232,-0.01837741583585739,-0.7608394026756287,0.12121713161468506,0.0004458209465263046,0.00014669500795396522,0.015979682584966015,-0.9998722357878924,1.8000237941741943,drone1
1743169563.5299537,-0.02433655597269535,-0.7590219974517822,0.11502009630203247,0.00045601607984954387,0.0001687211814763362,0.015983560095028992,-0.9998721514941954,2.000054359436035,drone1
1743169563.7299323,-0.028836391866207123,-0.7560709714889526,0.10785546898841858,0.00048330690512291924,0.00018600542295091414,0.01597057886568759,-0.9998723200815895,2.200032949447632,drone1
1743169563.9299703,-0.03192109987139702,-0.7528710961341858,0.10094907879829407,0.0005226674415307805,0.0002058805946048128,0.015996499177521828,-0.9998719407599528,2.400070905685425,drone1
1743169564.1299624,-0.03276807442307472,-0.7501944899559021,0.0940341055393219,0.0005359697318992933,0.00020440444651065366,0.015984993087878374,-0.9998720672004984,2.6000630855560303,drone1
1743169564.329952,-0.03282647952437401,-0.7472227215766907,0.08616656064987183,0.0005435100356464217,0.00021284240816071007,0.015978755354298713,-0.9998722357878924,2.8000526428222656,drone1
1743169564.529971,-0.03459315747022629,-0.7442995309829712,0.07573658227920532,0.000541217930327356,0.00024854148855297706,0.015960632209439052,-0.9998724886689835,3.0000715255737305,drone1
1743169564.7299368,-0.03561112657189369,-0.7405204176902771,0.06519895792007446,0.0005591426680744948,0.00026772021852041015,0.01596349819513776,-0.9998724043752865,3.2000374794006348,drone1
1743169564.929924,-0.035789407789707184,-0.7346265316009521,0.05496928095817566,0.0006079415363990699,0.00023889739234679236,0.01598006190660256,-0.9998721093473468,3.400024652481079,drone1
